correction(contende) => contended (9); expected contented (13)
correction(noe) => not (6626); expected now (1697)
correction(unequaled) => unequaled (1); expected unequalled (0)
correction(avaiblity) => avaiblity (0); expected availability (1)
correction(desention) => desertion (2); expected dissension (2)
correction(unequivocaly) => unequivocal (1); expected unequivocally (0)
correction(muiuets) => muskets (22); expected minutes (146)
correction(subtrcat) => subtrcat (0); expected subtract (0)
correction(imidatly) => imidatly (0); expected immediately (182)
correction(exponentualy) => exponentualy (0); expected exponentially (0)
correction(familys) => family (210); expected families (45)
correction(nessisitates) => nessisitates (0); expected necessitates (5)
correction(universaly) => universal (37); expected universally (7)
correction(unessasarily) => unessasarily (0); expected unnecessarily (1)
correction(coments) => moments (56); expected comments (5)
correction(questionare) => questionable (3); expected questionnaire (1)
correction(unavailble) => unavailble (0); expected unavailable (0)
correction(repetative) => reparative (19); expected repetitive (0)
correction(equaled) => equaled (2); expected equalled (2)
correction(bonas) => bones (257); expected bonus (2)
correction(cleark) => clear (233); expected clerk (25)
correction(familer) => family (210); expected familiar (79)
correction(accesing) => acceding (1); expected assessing (0)
correction(equiries) => equities (1); expected inquiries (21)
correction(generataed) => generate (1); expected generated (0)
correction(rouint) => count (748); expected routine (23)
correction(natior) => nation (160); expected nature (169)
correction(ganing) => gazing (67); expected gaining (14)
correction(functionaly) => functional (8); expected functionally (0)
correction(preffeson) => preffeson (0); expected profession (22)
correction(thear) => their (2955); expected there (2972)
correction(oranisation) => organisation (7); expected organization (42)
correction(oragnisation) => organisation (7); expected organization (42)
correction(utalised) => utilised (1); expected utilized (2)
correction(optaning) => opening (146); expected obtaining (18)
correction(embelishing) => embelishing (0); expected embellishing (0)
correction(committe) => committed (51); expected committee (39)
correction(similar) => similar (129); expected simular (0)
correction(economtric) => economic (96); expected econometric (0)
correction(aalysing) => analyzing (2); expected analysing (0)
correction(chalange) => change (150); expected challenge (31)
correction(forth) => forth (82); expected fourth (76)
correction(descisions) => decisions (17); expected decision (61)
correction(sence) => since (260); expected sense (103)
correction(aquantences) => aquaintances (1); expected acquaintances (40)
correction(nationaly) => national (270); expected nationally (1)
correction(sorce) => force (239); expected source (94)
correction(wer) => her (5284); expected were (4289)
correction(where) => where (977); expected were (4289)
correction(pere) => pere (4); expected per (85)
correction(whn) => who (3050); expected when (2920)
correction(hown) => how (1315); expected shown (113)
correction(necasery) => necasery (0); expected necessary (327)
correction(nessasary) => nessasary (0); expected necessary (327)
correction(nessisary) => nessisary (0); expected necessary (327)
correction(unessessay) => unessessay (0); expected unnecessary (30)
correction(disaggreagte) => disaggreagte (0); expected disaggregate (0)
correction(disaggreaget) => disaggreaget (0); expected disaggregate (0)
correction(aurgument) => argument (32); expected auguments (0)
correction(choises) => chaises (1); expected choices (0)
correction(proceding) => preceding (18); expected proceeding (12)
correction(idealy) => ideal (25); expected ideally (1)
correction(servaying) => serving (37); expected surveying (4)
correction(provid) => proved (80); expected provide (47)
correction(sesion) => lesion (101); expected session (13)
correction(sumarys) => summary (16); expected summarys (0)
correction(et) => et (19); expected set (325)
correction(chose) => chose (34); expected choose (54)
correction(heiarky) => hearty (12); expected hierarchy (4)
correction(advantageos) => advantages (39); expected advantageous (18)
correction(advice) => advice (63); expected advise (19)
correction(resoved) => removed (178); expected resolved (34)
correction(accessability) => accessability (0); expected accessibility (0)
correction(studens) => student (12); expected students (6)
correction(faverable) => favorable (23); expected favourable (28)
correction(tecniques) => technique (3); expected techniques (0)
correction(goegraphicaly) => geographical (9); expected geographically (0)
correction(encompasing) => encompasing (0); expected encompassing (0)
correction(thay) => that (12512); expected they (3938)
correction(containg) => contains (36); expected containing (68)
correction(conditining) => conditining (0); expected conditioning (0)
correction(sucssuful) => sucssuful (0); expected successful (56)
correction(quies) => quiet (118); expected queries (0)
correction(oranised) => organised (10); expected organized (68)
correction(analiss) => analysis (20); expected analyse (1)
correction(humor) => humor (16); expected humour (4)
correction(thorts) => thorns (4); expected thoughts (125)
correction(currers) => current (71); expected careers (1)
correction(carrers) => carriers (6); expected careers (1)
correction(nite) => note (115); expected night (384)
correction(servays) => servants (87); expected surveys (1)
correction(throut) => throat (65); expected through (814)
correction(analised) => canalised (1); expected analysed (0)
correction(perametres) => perametres (0); expected parameters (0)
correction(ther) => the (79809); expected their (2955)
correction(handel) => handed (80); expected handle (21)
correction(dissapoiting) => dissapoiting (0); expected disappointing (7)
correction(personel) => personal (91); expected personnel (2)
correction(appologised) => apologise (2); expected apologised (0)
correction(meen) => been (2599); expected mean (98)
correction(guidlines) => guideline (1); expected guidelines (0)
correction(colate) => coat (172); expected collate (0)
correction(interogationg) => interogationg (0); expected interrogating (0)
correction(drasticaly) => drasticaly (0); expected drastically (0)
correction(ineffiect) => ineffiect (0); expected inefficient (0)
correction(regined) => refined (13); expected regained (7)
correction(reffered) => offered (87); expected refered (0)
correction(athough) => though (650); expected although (168)
correction(quaties) => duties (84); expected qualities (24)
correction(financialy) => financial (35); expected financially (3)
correction(citisum) => citisum (0); expected criticism (34)
68% of 400 correct (11% unknown) at 56 words per second 
